,,,,,                           สินค้าในระบบ,,,,เปิดบิลแล้วยังไม่ส่ง,,,,ตรวจนับจริง,,,,,,รวมตรวจนับ,," 974,085.94 ",,,,,
,,,,a,b,c,n,d = a+b+c+n,e,f = d + e,g,h,i,j,k,,,,l = g+h+I+j+k,m = l - f,,,,,,
Item Code,Item Name,Group,มูลค่าสินค้า,WH07,WH08,WH10,WH02,Total,สินค้าค้างส่ง,ACC,ดีน,โอ,ตาล,พุด,พี่เซาะ,พี่สถาน,WH10,รับคืน,Total,ผลต่าง,ผลต่างมูลค่า,,มูลค่าตามตรวจนับ,มูลค่าตามบัญชี,ผลต่างมูลค่า,20/8/25
FG0101101,LB450-กล่องppฝาพับ-ใส 460 ml รวมฝา 750 ml(50x12),สินค้าโรงงาน, 351.34 , 1.00 , -   , -   , -   , 1.00 , -   , 1.00 , -   , -   , -   , -   , -   , -   , -   , -   , -   ,-1.00 ,-351.34 ,, -   , 351.34 ,-351.34 ,
FG0101102,LB600-กล่องppฝาพับ-ใส 560 ml รวมฝา 1120 ml(50x12),สินค้าโรงงาน, 395.84 , 101.00 , -   , -   , -   , 101.00 , 6.00 , 107.00 , -   , 112.00 , -   , -   , -   , -   , -   , -   , 112.00 , 5.00 ," 1,979.18 ",," 44,333.68 "," 42,354.50 "," 1,979.18 ",
FG0101103,LB601-กล่องppฝาพับ-ใส 540 ml รวมฝา 870 ml(50x12),สินค้าโรงงาน, 373.44 , 115.00 , -   , -   , -   , 115.00 , 31.00 , 146.00 , -   , 168.00 , -   , -   , -   , -   , -   , -   , 168.00 , 22.00 ," 8,215.78 ",," 62,738.67 "," 54,522.89 "," 8,215.78 ",
FG0101104,LB601-2-กล่องppฝาพับ-ใส 490 ml รวมฝา 820 ml(50x12),สินค้าโรงงาน, 394.54 , 133.00 , -   , -   , -   , 133.00 , -   , 133.00 , -   , 127.00 , -   , -   , -   , -   , -   , -   , 127.00 ,-6.00 ,"-2,367.27 ",," 50,107.14 "," 52,474.41 ","-2,367.27 ",
FG0101105,LB500X-กล่องppฝาพับ-ใส 600 ml รวมฝา 1200 ml(25x16),สินค้าโรงงาน, 337.21 , -   , -   , -   , -   , -   , 16.00 , 16.00 , -   , -   , 35.00 , -   , -   , -   , -   , -   , 35.00 , 19.00 ," 6,407.01 ",," 11,802.39 "," 5,395.38 "," 6,407.01 ",
FG0101106,LB1200-กล่องppฝาพับ-ใส 1000 ml รวมฝา 1780 ml(25x8),สินค้าโรงงาน, 238.10 , 1.00 , -   , -   , -   , 1.00 , 21.00 , 22.00 , -   , -   , 28.00 , -   , -   , -   , -   , -   , 28.00 , 6.00 ," 1,428.58 ",," 6,666.72 "," 5,238.13 "," 1,428.58 ",
FG0101107,LB1200-3-กล่องppฝาพับ-ใส 850 ml รวมฝา 1580 ml(25x8),สินค้าโรงงาน, 238.10 , 46.00 , -   , -   , -   , 46.00 , 1.00 , 47.00 , -   , -   , 47.00 , -   , -   , -   , -   , -   , 47.00 , -   , -   ,," 11,190.56 "," 11,190.56 ", -   ,
CG0101101,(50+2) LB450-กล่องppฝาพับ-ใส 460 ml รวมฝา 750 ml(50x12),สินค้าโรงงาน, 333.99 , 74.00 , -   , -   , -   , 74.00 , 44.00 , 118.00 , -   , 109.00 , -   , -   , -   , -   , -   , -   , 109.00 ,-9.00 ,"-3,005.94 ",,,,,
FG0102101,NT-45-ชามพลาสติก-ใส 830 ml(50x18),สินค้าโรงงาน, 411.62 , 68.00 , -   , -   , -   , 68.00 , 304.00 , 372.00 , -   , 551.00 , -   , -   , -   , -   , -   , -   , 551.00 , 179.00 ," 73,680.87 ",," 226,805.35 "," 153,124.48 "," 73,680.87 ",
FG0102102,NT-52-ชามพลาสติก-ใส 550 ml(50x24),สินค้าโรงงาน, 429.09 , 107.00 , -   , -   , -   , 107.00 , 84.00 , 191.00 , -   , -   , 195.00 , -   , -   , -   , -   , -   , 195.00 , 4.00 ," 1,716.36 ",," 83,672.33 "," 81,955.98 "," 1,716.36 ",
FG0102103,NT-750-ชามพลาสติก-ใส 750 ml(50x24),สินค้าโรงงาน, 401.45 , 3.00 , -   , -   , -   , 3.00 , 5.00 , 8.00 , 8.00 , -   , -   , -   , -   , -   , -   , -   , 8.00 , -   , -   ,," 3,211.63 "," 3,211.63 ", -   ,
FG0102104,NT-56-ชามพลาสติก-ใส 300 ml(100x20),สินค้าโรงงาน, 361.21 , 40.00 , -   , -   , -   , 40.00 , 20.00 , 60.00 , -   , -   , 62.00 , -   , -   , -   , -   , -   , 62.00 , 2.00 , 722.42 ,," 22,395.11 "," 21,672.69 ", 722.42 ,
FG0102105,NT-57-ชามพลาสติก-ใส 400 ml(50x40),สินค้าโรงงาน, 565.85 , 12.00 , -   , -   , -   , 12.00 , 20.00 , 32.00 , -   , -   , 37.00 , -   , -   , -   , -   , -   , 37.00 , 5.00 ," 2,829.24 ",," 20,936.40 "," 18,107.15 "," 2,829.24 ",
FG0102106,NT-1000-ชามพลาสติก-ใส 1000 ml(50x16),สินค้าโรงงาน, 363.63 , 4.00 , -   , -   , -   , 4.00 , -   , 4.00 , 9.00 , -   , -   , -   , -   , -   , -   , -   , 9.00 , 5.00 ," 1,818.16 ",," 3,272.69 "," 1,454.53 "," 1,818.16 ",
FG0102107,NT-1250-ชามพลาสติก-ใส 1250 ml(50x16),สินค้าโรงงาน, 496.28 , 17.00 , -   , -   , -   , 17.00 , 3.00 , 20.00 , 23.00 , -   , -   , -   , -   , -   , -   , -   , 23.00 , 3.00 ," 1,488.84 ",," 11,414.42 "," 9,925.58 "," 1,488.84 ",
FG0102201,NT-45B-ชามพลาสติก-ดำ 830 ml(50x18),สินค้าโรงงาน, 435.92 , 3.00 , -   , -   , -   , 3.00 , 26.00 , 29.00 , -   , 32.00 , -   , -   , -   , -   , -   , -   , 32.00 , 3.00 ," 1,307.76 ",," 13,949.41 "," 12,641.65 "," 1,307.76 ",
FG0102202,NT-52B-ชามพลาสติก-ดำ 550 ml(50x24),สินค้าโรงงาน, 454.12 , 62.00 , -   , -   , -   , 62.00 , -   , 62.00 , -   , -   , 67.00 , -   , -   , -   , -   , -   , 67.00 , 5.00 ," 2,270.60 ",," 30,425.99 "," 28,155.39 "," 2,270.60 ",
FG0102203,NT-750B-ชามพลาสติก-ดำ 750 ml(50x24),สินค้าโรงงาน, 426.48 , 36.00 , -   , -   , -   , 36.00 , 5.00 , 41.00 , 41.00 , -   , -   , -   , -   , -   , -   , -   , 41.00 , -   , -   ,," 17,485.86 "," 17,485.86 ", -   ,
FG0102204,NT-56B-ชามพลาสติก-ดำ 300 ml(100x20),สินค้าโรงงาน, 383.30 , 62.00 , -   , -   , -   , 62.00 , -   , 62.00 , -   , -   , 61.00 , -   , -   , -   , -   , -   , 61.00 ,-1.00 ,-383.30 ,," 23,381.12 "," 23,764.42 ",-383.30 ,
FG0102205,NT-57B-ชามพลาสติก-ดำ 400 ml(50x40),สินค้าโรงงาน, 599.22 , 55.00 , -   , -   , -   , 55.00 , -   , 55.00 , -   , -   , 56.00 , -   , -   , -   , -   , -   , 56.00 , 1.00 , 599.22 ,," 33,556.45 "," 32,957.23 ", 599.22 ,
FG0102206,NT-1000B-ชามพลาสติก-ดำ 1000 ml(50x16),สินค้าโรงงาน, 384.83 , 18.00 , -   , -   , -   , 18.00 , -   , 18.00 , 17.00 , -   , -   , -   , -   , -   , -   , -   , 17.00 ,-1.00 ,-384.83 ,," 6,542.19 "," 6,927.03 ",-384.83 ,
FG0102207,NT-1250B-ชามพลาสติก-ดำ 1250 ml(50x16),สินค้าโรงงาน, 525.73 , 22.00 , -   , -   , -   , 22.00 , -   , 22.00 , 26.00 , -   , -   , -   , -   , -   , -   , -   , 26.00 , 4.00 ," 2,102.91 ",," 13,668.89 "," 11,565.98 "," 2,102.91 ",
FG0102301,NT-45RB-ชามพลาสติก-ดำแดง 830 ml(50x18),สินค้าโรงงาน, 441.61 , 46.00 , -   , -   , -   , 46.00 , 13.00 , 59.00 , -   , 110.00 , -   , -   , 1.00 , -   , -   , -   , 111.00 , 52.00 ," 22,963.84 ",," 49,018.97 "," 26,055.13 "," 22,963.84 ",
FG0102302,NT-52RB-ชามพลาสติก-ดำแดง 550 ml(50x24),สินค้าโรงงาน, 467.26 , 43.00 , -   , -   , -   , 43.00 , -   , 43.00 , 55.00 , -   , -   , -   , -   , -   , -   , -   , 55.00 , 12.00 ," 5,607.06 ",," 25,699.05 "," 20,091.98 "," 5,607.06 ",
FG0103101,T901-3-กล่องเบนโตะ+ฝา-ใส 1150 ml(25x8),สินค้าโรงงาน, 296.10 , 30.00 , -   , -   , -   , 30.00 , 6.00 , 36.00 , -   , -   , 40.00 , -   , -   , -   , -   , -   , 40.00 , 4.00 ," 1,184.38 ",," 11,843.83 "," 10,659.45 "," 1,184.38 ",
FG0103102,T901-4-กล่องเบนโตะ+ฝา-ใส 1070 ml(25x8),สินค้าโรงงาน, 296.10 , 39.00 , -   , -   , -   , 39.00 , -   , 39.00 , -   , -   , 33.00 , -   , -   , -   , -   , -   , 33.00 ,-6.00 ,"-1,776.57 ",," 9,771.16 "," 11,547.74 ","-1,776.57 ",40
FG0103201,TB901-3-กล่องเบนโตะ+ฝา-ดำ 1150 ml(25x8),สินค้าโรงงาน, 306.65 , 121.00 , -   , -   , -   , 121.00 , 3.00 , 124.00 , -   , -   , 135.00 , -   , -   , -   , -   , -   , 135.00 , 11.00 ," 3,373.13 ",," 41,397.46 "," 38,024.33 "," 3,373.13 ",
FG0103202,TB901-4-กล่องเบนโตะ+ฝา-ดำ 1070 ml(25x8),สินค้าโรงงาน, 306.65 , 55.00 , -   , -   , -   , 55.00 , 6.00 , 61.00 , -   , -   , 76.00 , -   , -   , -   , -   , -   , 76.00 , 15.00 ," 4,599.72 ",," 23,305.23 "," 18,705.52 "," 4,599.72 ",
FG0103203,TB851-1-กล่องเบนโตะ+ฝา-ดำ 1250 ml(25x8),สินค้าโรงงาน, 320.78 , 32.00 , -   , -   , -   , 32.00 , -   , 32.00 , 31.00 , -   , -   , -   , -   , -   , -   , -   , 31.00 ,-1.00 ,-320.78 ,," 9,944.22 "," 10,265.00 ",-320.78 ,
FG0103204,TB851-3-กล่องเบนโตะ+ฝา-ดำ 1150 ml(25x8),สินค้าโรงงาน, 316.41 , 29.00 , -   , -   , -   , 29.00 , -   , 29.00 , 30.00 , -   , -   , -   , -   , -   , -   , -   , 30.00 , 1.00 , 316.41 ,," 9,492.23 "," 9,175.83 ", 316.41 ,
FG0103301,TRB901-3-กล่องเบนโตะ+ฝา-ดำแดง 1150 ml(25x8),สินค้าโรงงาน, 312.72 , 52.00 , -   , -   , -   , 52.00 , 1.00 , 53.00 , -   , -   , 58.00 , -   , -   , -   , -   , -   , 58.00 , 5.00 ," 1,563.60 ",," 18,137.80 "," 16,574.19 "," 1,563.60 ",
FG0103302,TRB901-4-กล่องเบนโตะ+ฝา-ดำแดง 1070 ml(25x8),สินค้าโรงงาน, 312.72 , 52.00 , -   , -   , -   , 52.00 , 1.00 , 53.00 , -   , -   , 37.00 , -   , -   , -   , -   , -   , 37.00 ,-16.00 ,"-5,003.53 ",," 11,570.66 "," 16,574.19 ","-5,003.53 ",
FG0103303,TRB851-1-กล่องเบนโตะ+ฝา-ดำแดง 1250 ml(25x8),สินค้าโรงงาน, 323.25 , 15.00 , -   , -   , -   , 15.00 , -   , 15.00 , 10.00 , -   , -   , -   , -   , -   , -   , -   , 10.00 ,-5.00 ,"-1,616.27 ",," 3,232.54 "," 4,848.81 ","-1,616.27 ",
FG0103304,TRB851-3-กล่องเบนโตะ+ฝา-ดำแดง 1150 ml(25x8),สินค้าโรงงาน, 323.25 , 17.00 , -   , -   , -   , 17.00 , -   , 17.00 , 16.00 , -   , -   , -   , -   , -   , -   , -   , 16.00 ,-1.00 ,-323.25 ,," 5,172.07 "," 5,495.32 ",-323.25 ,
FG0104101,NT-LB650-กล่องppฝาปิดในตัว-ใส 650 ml(25x20),สินค้าโรงงาน, 449.27 , 74.00 , -   , -   , -   , 74.00 , 10.00 , 84.00 , 107.00 , -   , -   , -   , -   , -   , -   , -   , 107.00 , 23.00 ," 10,333.22 ",," 48,071.96 "," 37,738.73 "," 10,333.22 ",
FG0104102,NT-LB750-กล่องppฝาปิดในตัว-ใส 750 ml(25x20),สินค้าโรงงาน, 449.27 , 52.00 , -   , -   , -   , 52.00 , 38.00 , 90.00 , -   , -   , 124.00 , -   , -   , -   , -   , -   , 124.00 , 34.00 ," 15,275.20 ",," 55,709.56 "," 40,434.36 "," 15,275.20 ",
FG0104103,NT-LB750-2-กล่องppฝาปิดในตัว-ใส 750 ml(25x20),สินค้าโรงงาน, 458.27 , 107.00 , -   , -   , -   , 107.00 , 19.00 , 126.00 , -   , -   , 165.00 , -   , -   , -   , -   , -   , 165.00 , 39.00 ," 17,872.55 ",," 75,614.65 "," 57,742.10 "," 17,872.55 ",
FG0104104,NT-LB500S-กล่องppฝาปิดในตัว-ใส 1100 ml(25x12),สินค้าโรงงาน, 272.21 , 31.00 , -   , -   , -   , 31.00 , 8.00 , 39.00 , -   , -   , 55.00 , -   , -   , -   , -   , -   , 55.00 , 16.00 ," 4,355.33 ",," 14,971.44 "," 10,616.11 "," 4,355.33 ",
FG0104105,NT-LB500S-2-กล่องppฝาปิดในตัว-ใส 860 ml(25x12),สินค้าโรงงาน, 283.01 , -   , -   , -   , -   , -   , 2.00 , 2.00 , -   , -   , 2.00 , -   , -   , -   , -   , -   , 2.00 , -   , -   ,, 566.02 , 566.02 , -   ,
FG0102108,NT-06-ถ้วยนึ่งพลาสติก-ใส 6 ออนซ์l(50x30),สินค้าโรงงาน, 343.72 , 40.00 , -   , -   , -   , 40.00 , 3.00 , 43.00 , -   , -   , 44.00 , -   , -   , -   , -   , -   , 44.00 , 1.00 , 343.72 ,," 15,123.68 "," 14,779.96 ", 343.72 ,
FG0102109,NT-07-ถ้วยนึ่งพลาสติก-ใส 7 ออนซ์l(50x30),สินค้าโรงงาน, 343.72 , 51.00 , -   , -   , -   , 51.00 , 3.00 , 54.00 , -   , -   , 55.00 , -   , -   , -   , -   , -   , 55.00 , 1.00 , 343.72 ,," 18,904.60 "," 18,560.88 ", 343.72 ,
FG0201201,MP-03B-ชุดช้อนส้อม+กระดาษ-ดำ (50x20),สินค้าซื้อมาขายไป, 549.60 , 19.00 , -   , -   , -   , 19.00 , 20.00 , 39.00 , -   , 42.00 , -   , -   , -   , -   , -   , -   , 42.00 , 3.00 ," 1,648.80 ",," 23,083.20 "," 21,434.40 "," 1,648.80 ",
FG0201202,MP-04B-ชุดช้อนส้อม-ดำ (50x20),สินค้าซื้อมาขายไป, 484.04 , 129.00 , -   , -   , -   , 129.00 , 7.00 , 136.00 , -   , 184.00 , -   , -   , -   , -   , -   , -   , 184.00 , 48.00 ," 23,233.92 ",," 89,063.36 "," 65,829.44 "," 23,233.92 ",
FG0201401,MP-03W-ชุดช้อนส้อม+กระดาษ (50x20),สินค้าซื้อมาขายไป, 590.00 , 29.00 , -   , -   , -   , 29.00 , 10.00 , 39.00 , -   , 46.00 , -   , -   , -   , -   , -   , -   , 46.00 , 7.00 ," 4,130.00 ",," 27,140.00 "," 23,010.00 "," 4,130.00 ",
FG0201402,MP-04W-ชุดช้อนส้อม (50x20),สินค้าซื้อมาขายไป, 486.02 , 10.00 , -   , -   , -   , 10.00 , 19.00 , 29.00 , -   , 46.00 , -   , -   , -   , -   , -   , -   , 46.00 , 17.00 ," 8,262.34 ",," 22,356.92 "," 14,094.58 "," 8,262.34 ",
FG0201403,MP-05W-ชุดช้อน (100x20),สินค้าซื้อมาขายไป, 560.00 , 8.00 , -   , -   , -   , 8.00 , -   , 8.00 , 9.00 , -   , -   , -   , -   , -   , -   , -   , 9.00 , 1.00 , 560.00 ,," 5,040.00 "," 4,480.00 ", 560.00 ,
